確定病名,發病日,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19CoV,2022-06-09,桃園市,龜山區,M,0,70+,4,68000,68000070
19CoV,2022-06-10,嘉義縣,中埔鄉,F,0,70+,1,10010,10010130
19CoV,2022-06-10,嘉義縣,中埔鄉,M,0,70+,1,10010,10010130
19CoV,2022-06-10,桃園市,中壢區,M,0,65~69,1,68000,68000020
19CoV,2022-06-10,桃園市,中壢區,F,0,70+,3,68000,68000020
19CoV,2022-06-10,南投縣,中寮鄉,F,0,70+,1,10008,10008080
19CoV,2022-06-10,台南市,中西區,M,0,60~64,1,67000,67000370
19CoV,2022-06-10,台南市,中西區,F,0,70+,1,67000,67000370
19CoV,2022-06-10,彰化縣,二林鎮,M,0,65~69,1,10007,10007200
19CoV,2022-06-10,台北市,信義區,M,0,70+,1,63000,63000020
19CoV,2022-06-10,雲林縣,元長鄉,F,0,40~44,1,10009,10009170
19CoV,2022-06-10,雲林縣,元長鄉,M,0,60~64,1,10009,10009170
19CoV,2022-06-10,屏東縣,內埔鄉,M,0,70+,1,10013,10013130
19CoV,2022-06-10,嘉義縣,六腳鄉,M,0,70+,1,10010,10010080
19CoV,2022-06-10,宜蘭縣,冬山鄉,F,0,65~69,1,10002,10002080
19CoV,2022-06-10,高雄市,前金區,F,0,70+,1,64000,64000070
19CoV,2022-06-10,高雄市,前金區,M,0,70+,1,64000,64000070
19CoV,2022-06-10,高雄市,前鎮區,F,0,70+,1,64000,64000090
19CoV,2022-06-10,台中市,北區,M,0,45~49,1,66000,66000050
19CoV,2022-06-10,台中市,北區,F,0,70+,1,66000,66000050
19CoV,2022-06-10,台南市,北區,F,0,70+,2,67000,67000340
19CoV,2022-06-10,新竹市,北區,M,0,70+,1,10018,10018020
19CoV,2022-06-10,台中市,北屯區,M,0,55~59,1,66000,66000080
19CoV,2022-06-10,台中市,北屯區,M,0,70+,1,66000,66000080
19CoV,2022-06-10,台北市,北投區,F,0,70+,1,63000,63000120
19CoV,2022-06-10,台北市,北投區,M,0,70+,1,63000,63000120
19CoV,2022-06-10,彰化縣,北斗鎮,M,0,55~59,1,10007,10007190
19CoV,2022-06-10,台南市,南區,F,0,55~59,1,67000,67000330
19CoV,2022-06-10,台南市,南區,M,0,55~59,1,67000,67000330
19CoV,2022-06-10,台南市,南區,M,0,65~69,1,67000,67000330
19CoV,2022-06-10,台中市,南區,M,0,70+,1,66000,66000030
19CoV,2022-06-10,台中市,南屯區,M,0,70+,1,66000,66000070
19CoV,2022-06-10,南投縣,南投市,M,0,70+,4,10008,10008010
19CoV,2022-06-10,花蓮縣,吉安鄉,M,0,60~64,1,10015,10015050
19CoV,2022-06-10,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
19CoV,2022-06-10,彰化縣,和美鎮,M,0,70+,1,10007,10007030
19CoV,2022-06-10,宜蘭縣,員山鄉,M,0,70+,2,10002,10002070
19CoV,2022-06-10,新北市,土城區,M,0,60~64,1,65000,65000130
19CoV,2022-06-10,新北市,土城區,F,0,70+,1,65000,65000130
19CoV,2022-06-10,雲林縣,土庫鎮,F,0,70+,1,10009,10009050
19CoV,2022-06-10,南投縣,埔里鎮,F,0,70+,1,10008,10008020
19CoV,2022-06-10,彰化縣,埔鹽鄉,M,0,70+,1,10007,10007140
19CoV,2022-06-10,台中市,外埔區,F,0,70+,1,66000,66000210
19CoV,2022-06-10,台北市,大安區,F,0,70+,1,63000,63000030
19CoV,2022-06-10,台北市,大安區,M,0,70+,1,63000,63000030
19CoV,2022-06-10,台中市,大雅區,M,0,70+,1,66000,66000180
19CoV,2022-06-10,台中市,太平區,M,0,45~49,1,66000,66000270
19CoV,2022-06-10,台中市,太平區,F,0,70+,1,66000,66000270
19CoV,2022-06-10,台中市,太平區,M,0,70+,1,66000,66000270
19CoV,2022-06-10,台南市,安南區,M,0,50~54,1,67000,67000350
19CoV,2022-06-10,台南市,安南區,M,0,70+,1,67000,67000350
19CoV,2022-06-10,基隆市,安樂區,M,0,70+,1,10017,10017060
19CoV,2022-06-10,高雄市,小港區,F,0,70+,1,64000,64000110
19CoV,2022-06-10,高雄市,小港區,M,0,70+,1,64000,64000110
19CoV,2022-06-10,屏東縣,屏東市,M,0,70+,1,10013,10013010
19CoV,2022-06-10,台南市,山上區,F,0,70+,1,67000,67000220
19CoV,2022-06-10,高雄市,岡山區,M,0,70+,1,64000,64000190
19CoV,2022-06-10,高雄市,左營區,F,0,60~64,1,64000,64000030
19CoV,2022-06-10,桃園市,平鎮區,M,0,70+,2,68000,68000100
19CoV,2022-06-10,高雄市,彌陀區,M,0,70+,1,64000,64000280
19CoV,2022-06-10,彰化縣,彰化市,M,0,40~44,1,10007,10007010
19CoV,2022-06-10,彰化縣,彰化市,M,0,70+,2,10007,10007010
19CoV,2022-06-10,台南市,後壁區,M,0,65~69,1,67000,67000050
19CoV,2022-06-10,屏東縣,恆春鎮,M,0,70+,1,10013,10013040
19CoV,2022-06-10,雲林縣,斗六市,F,0,55~59,1,10009,10009010
19CoV,2022-06-10,台南市,新化區,M,0,70+,1,67000,67000180
19CoV,2022-06-10,新北市,新店區,F,0,70+,3,65000,65000060
19CoV,2022-06-10,嘉義縣,新港鄉,M,0,70+,1,10010,10010070
19CoV,2022-06-10,台南市,新營區,M,0,50~54,1,67000,67000010
19CoV,2022-06-10,台南市,新營區,M,0,70+,1,67000,67000010
19CoV,2022-06-10,新北市,新莊區,M,0,70+,1,65000,65000050
19CoV,2022-06-10,高雄市,旗山區,M,0,60~64,1,64000,64000300
19CoV,2022-06-10,高雄市,旗津區,M,0,70+,1,64000,64000100
19CoV,2022-06-10,新竹市,東區,F,0,70+,1,10018,10018010
19CoV,2022-06-10,新竹市,東區,M,0,70+,1,10018,10018010
19CoV,2022-06-10,台北市,松山區,M,0,70+,1,63000,63000010
19CoV,2022-06-10,台南市,柳營區,F,0,55~59,1,67000,67000040
19CoV,2022-06-10,高雄市,楠梓區,F,0,70+,1,64000,64000040
19CoV,2022-06-10,高雄市,楠梓區,M,0,70+,2,64000,64000040
19CoV,2022-06-10,新北市,樹林區,M,0,70+,1,65000,65000070
19CoV,2022-06-10,高雄市,橋頭區,M,0,55~59,1,64000,64000200
19CoV,2022-06-10,台南市,歸仁區,F,0,70+,1,67000,67000280
19CoV,2022-06-10,嘉義縣,水上鄉,M,0,70+,1,10010,10010120
19CoV,2022-06-10,台南市,永康區,M,0,70+,1,67000,67000310
19CoV,2022-06-10,彰化縣,永靖鄉,F,0,70+,1,10007,10007160
19CoV,2022-06-10,新北市,淡水區,M,0,70+,1,65000,65000100
19CoV,2022-06-10,台中市,清水區,F,0,70+,1,66000,66000120
19CoV,2022-06-10,新竹縣,湖口鄉,M,0,70+,1,10004,10004050
19CoV,2022-06-10,彰化縣,溪州鄉,F,0,70+,1,10007,10007260
19CoV,2022-06-10,屏東縣,潮州鎮,M,0,70+,1,10013,10013020
19CoV,2022-06-10,高雄市,燕巢區,F,0,45~49,1,64000,64000210
19CoV,2022-06-10,高雄市,燕巢區,M,0,70+,1,64000,64000210
19CoV,2022-06-10,彰化縣,田尾鄉,F,0,70+,1,10007,10007210
19CoV,2022-06-10,彰化縣,社頭鄉,M,0,70+,1,10007,10007170
19CoV,2022-06-10,彰化縣,福興鄉,M,0,70+,1,10007,10007060
19CoV,2022-06-10,彰化縣,秀水鄉,F,0,65~69,1,10007,10007070
19CoV,2022-06-10,彰化縣,秀水鄉,F,0,70+,1,10007,10007070
19CoV,2022-06-10,嘉義縣,竹崎鄉,F,0,70+,1,10010,10010140
19CoV,2022-06-10,高雄市,苓雅區,F,0,70+,1,64000,64000080
19CoV,2022-06-10,高雄市,苓雅區,M,0,70+,1,64000,64000080
19CoV,2022-06-10,台北市,萬華區,F,0,70+,1,63000,63000072
19CoV,2022-06-10,台北市,萬華區,F,0,70+,1,63000,63000071
19CoV,2022-06-10,台北市,萬華區,F,0,70+,1,63000,63000070
19CoV,2022-06-10,台北市,萬華區,M,0,70+,1,63000,63000070
19CoV,2022-06-10,台北市,萬華區,M,0,70+,1,63000,63000072
19CoV,2022-06-10,台北市,萬華區,M,0,70+,1,63000,63000071
19CoV,2022-06-10,新北市,蘆洲區,F,0,70+,2,65000,65000140
19CoV,2022-06-10,新北市,蘆洲區,M,0,70+,1,65000,65000140
19CoV,2022-06-10,宜蘭縣,蘇澳鎮,M,0,70+,1,10002,10002030
19CoV,2022-06-10,嘉義市,西區,F,0,70+,1,10020,10020020
19CoV,2022-06-10,台中市,西屯區,M,0,55~59,1,66000,66000060
19CoV,2022-06-10,桃園市,觀音區,F,0,70+,1,68000,68000120
19CoV,2022-06-10,台中市,豐原區,F,0,70+,1,66000,66000090
19CoV,2022-06-10,台中市,豐原區,M,0,70+,1,66000,66000090
19CoV,2022-06-10,台中市,霧峰區,M,0,70+,1,66000,66000260
19CoV,2022-06-10,高雄市,鳳山區,M,0,55~59,1,64000,64000120
19CoV,2022-06-10,新北市,鶯歌區,F,0,70+,1,65000,65000080
19CoV,2022-06-10,彰化縣,鹿港鎮,F,0,70+,1,10007,10007020
19CoV,2022-06-10,雲林縣,麥寮鄉,M,0,70+,1,10009,10009130
19CoV,2022-06-10,台南市,麻豆區,F,0,70+,1,67000,67000070
19CoV,2022-06-10,高雄市,鼓山區,F,0,70+,1,64000,64000020
19CoV,2022-06-10,桃園市,龍潭區,M,0,70+,2,68000,68000090
19CoV,2022-06-11,基隆市,七堵區,M,0,50~54,1,10017,10017020
19CoV,2022-06-11,新北市,三峽區,F,0,70+,1,65000,65000090
19CoV,2022-06-11,新北市,三峽區,M,0,70+,1,65000,65000090
19CoV,2022-06-11,高雄市,三民區,M,0,70+,2,64000,64000050
19CoV,2022-06-11,高雄市,三民區,M,0,70+,2,64000,64000051
19CoV,2022-06-11,高雄市,三民區,M,0,70+,2,64000,64000052
19CoV,2022-06-11,新北市,三重區,F,0,35~39,1,65000,65000020
19CoV,2022-06-11,新北市,中和區,M,0,70+,1,65000,65000030
19CoV,2022-06-11,嘉義縣,中埔鄉,M,0,60~64,1,10010,10010130
19CoV,2022-06-11,桃園市,中壢區,M,0,70+,2,68000,68000020
19CoV,2022-06-11,基隆市,中正區,M,0,70+,1,10017,10017010
19CoV,2022-06-11,屏東縣,九如鄉,F,0,70+,1,10013,10013080
19CoV,2022-06-11,屏東縣,九如鄉,M,0,70+,1,10013,10013080
19CoV,2022-06-11,雲林縣,二崙鄉,F,0,70+,2,10009,10009110
19CoV,2022-06-11,彰化縣,二林鎮,F,0,55~59,1,10007,10007200
19CoV,2022-06-11,彰化縣,二林鎮,F,0,70+,2,10007,10007200
19CoV,2022-06-11,宜蘭縣,五結鄉,M,0,70+,1,10002,10002090
19CoV,2022-06-11,新北市,五股區,M,0,65~69,1,65000,65000150
19CoV,2022-06-11,台南市,仁德區,F,0,70+,1,67000,67000270
19CoV,2022-06-11,基隆市,仁愛區,F,0,70+,2,10017,10017040
19CoV,2022-06-11,台北市,信義區,M,0,70+,1,63000,63000020
19CoV,2022-06-11,雲林縣,元長鄉,M,0,70+,1,10009,10009170
19CoV,2022-06-11,花蓮縣,光復鄉,F,0,60~64,1,10015,10015070
19CoV,2022-06-11,屏東縣,內埔鄉,F,0,70+,1,10013,10013130
19CoV,2022-06-11,台北市,內湖區,F,0,70+,1,63000,63000100
19CoV,2022-06-11,台北市,內湖區,M,0,70+,1,63000,63000100
19CoV,2022-06-11,高雄市,前鎮區,F,0,70+,1,64000,64000090
19CoV,2022-06-11,台中市,北區,M,0,55~59,1,66000,66000050
19CoV,2022-06-11,台南市,北區,M,0,60~64,1,67000,67000340
19CoV,2022-06-11,台中市,北區,F,0,70+,1,66000,66000050
19CoV,2022-06-11,台南市,北區,F,0,70+,1,67000,67000340
19CoV,2022-06-11,新竹市,北區,M,0,70+,1,10018,10018020
19CoV,2022-06-11,台南市,北區,M,0,70+,1,67000,67000340
19CoV,2022-06-11,台中市,北屯區,F,0,70+,1,66000,66000080
19CoV,2022-06-11,花蓮縣,卓溪鄉,F,0,65~69,1,10015,10015130
19CoV,2022-06-11,台南市,南區,F,0,60~64,1,67000,67000330
19CoV,2022-06-11,台南市,南區,F,0,70+,1,67000,67000330
19CoV,2022-06-11,台南市,南區,M,0,70+,1,67000,67000330
19CoV,2022-06-11,台中市,南屯區,F,0,65~69,1,66000,66000070
19CoV,2022-06-11,屏東縣,南州鄉,M,0,45~49,1,10013,10013200
19CoV,2022-06-11,南投縣,南投市,M,0,50~54,1,10008,10008010
19CoV,2022-06-11,南投縣,南投市,M,0,55~59,1,10008,10008010
19CoV,2022-06-11,南投縣,南投市,F,0,70+,1,10008,10008010
19CoV,2022-06-11,南投縣,南投市,M,0,70+,1,10008,10008010
19CoV,2022-06-11,台東縣,台東市,M,0,50~54,1,10014,10014010
19CoV,2022-06-11,台東縣,台東市,F,0,65~69,1,10014,10014010
19CoV,2022-06-11,台東縣,台東市,F,0,70+,2,10014,10014010
19CoV,2022-06-11,台東縣,台東市,M,0,70+,1,10014,10014010
19CoV,2022-06-11,雲林縣,台西鄉,F,0,70+,1,10009,10009160
19CoV,2022-06-11,彰化縣,員林市,M,0,70+,1,10007,10007100
19CoV,2022-06-11,台南市,善化區,M,0,60~64,1,67000,67000190
19CoV,2022-06-11,台南市,善化區,F,0,70+,1,67000,67000190
19CoV,2022-06-11,台南市,善化區,M,0,70+,1,67000,67000190
19CoV,2022-06-11,南投縣,埔里鎮,F,0,70+,5,10008,10008020
19CoV,2022-06-11,彰化縣,埔鹽鄉,F,0,65~69,1,10007,10007140
19CoV,2022-06-11,彰化縣,埔鹽鄉,F,0,70+,1,10007,10007140
19CoV,2022-06-11,彰化縣,埔鹽鄉,M,0,70+,1,10007,10007140
19CoV,2022-06-11,彰化縣,埤頭鄉,M,0,70+,1,10007,10007220
19CoV,2022-06-11,桃園市,大園區,F,0,65~69,1,68000,68000060
19CoV,2022-06-11,台北市,大安區,M,0,70+,1,63000,63000030
19CoV,2022-06-11,高雄市,大樹區,M,0,70+,1,64000,64000150
19CoV,2022-06-11,台中市,大肚區,F,0,70+,1,66000,66000240
19CoV,2022-06-11,台中市,大里區,M,0,70+,1,66000,66000280
19CoV,2022-06-11,台中市,太平區,M,0,70+,2,66000,66000270
19CoV,2022-06-11,台南市,安南區,M,0,35~39,1,67000,67000350
19CoV,2022-06-11,台南市,安南區,M,0,55~59,1,67000,67000350
19CoV,2022-06-11,台南市,安平區,F,0,70+,1,67000,67000360
19CoV,2022-06-11,台南市,安平區,M,0,70+,2,67000,67000360
19CoV,2022-06-11,高雄市,小港區,M,0,70+,2,64000,64000110
19CoV,2022-06-11,屏東縣,屏東市,F,0,65~69,1,10013,10013010
19CoV,2022-06-11,屏東縣,屏東市,F,0,70+,3,10013,10013010
19CoV,2022-06-11,高雄市,左營區,M,0,70+,2,64000,64000030
19CoV,2022-06-11,桃園市,平鎮區,F,0,70+,1,68000,68000100
19CoV,2022-06-11,彰化縣,彰化市,F,0,70+,1,10007,10007010
19CoV,2022-06-11,彰化縣,彰化市,M,0,70+,1,10007,10007010
19CoV,2022-06-11,台北市,文山區,F,0,70+,1,63000,63000080
19CoV,2022-06-11,台北市,文山區,F,0,70+,1,63000,63000082
19CoV,2022-06-11,台北市,文山區,F,0,70+,1,63000,63000081
19CoV,2022-06-11,雲林縣,斗六市,M,0,70+,2,10009,10009010
19CoV,2022-06-11,屏東縣,新埤鄉,M,0,55~59,1,10013,10013150
19CoV,2022-06-11,台南市,新市區,M,0,70+,1,67000,67000200
19CoV,2022-06-11,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2022-06-11,台南市,新營區,F,0,70+,2,67000,67000010
19CoV,2022-06-11,新北市,新莊區,M,0,55~59,1,65000,65000050
19CoV,2022-06-11,新北市,新莊區,F,0,70+,1,65000,65000050
19CoV,2022-06-11,基隆市,暖暖區,M,0,70+,1,10017,10017030
19CoV,2022-06-11,台南市,東區,M,0,60~64,1,67000,67000320
19CoV,2022-06-11,嘉義市,東區,F,0,70+,1,10020,10020010
19CoV,2022-06-11,台中市,東區,F,0,70+,1,66000,66000020
19CoV,2022-06-11,新竹市,東區,M,0,70+,1,10018,10018010
19CoV,2022-06-11,嘉義市,東區,M,0,70+,2,10020,10020010
19CoV,2022-06-11,台南市,東區,M,0,70+,1,67000,67000320
19CoV,2022-06-11,屏東縣,東港鎮,F,0,55~59,1,10013,10013030
19CoV,2022-06-11,台北市,松山區,F,0,70+,1,63000,63000010
19CoV,2022-06-11,新北市,板橋區,M,0,70+,2,65000,65000010
19CoV,2022-06-11,屏東縣,枋寮鄉,F,0,60~64,1,10013,10013160
19CoV,2022-06-11,高雄市,林園區,F,0,70+,1,64000,64000130
19CoV,2022-06-11,桃園市,桃園區,F,0,70+,1,68000,68000010
19CoV,2022-06-11,高雄市,桃源區,F,0,60~64,1,64000,64000370
19CoV,2022-06-11,高雄市,桃源區,M,0,70+,1,64000,64000370
19CoV,2022-06-11,台南市,楠西區,M,0,70+,1,67000,67000240
19CoV,2022-06-11,新北市,樹林區,M,0,70+,1,65000,65000070
19CoV,2022-06-11,嘉義縣,水上鄉,F,0,70+,1,10010,10010120
19CoV,2022-06-11,新北市,汐止區,M,0,50~54,1,65000,65000110
19CoV,2022-06-11,台中市,沙鹿區,F,0,45~49,1,66000,66000130
19CoV,2022-06-11,台中市,沙鹿區,M,0,65~69,1,66000,66000130
19CoV,2022-06-11,台中市,沙鹿區,F,0,70+,1,66000,66000130
19CoV,2022-06-11,苗栗縣,泰安鄉,M,0,55~59,2,10005,10005180
19CoV,2022-06-11,新北市,泰山區,M,0,70+,2,65000,65000160
19CoV,2022-06-11,新北市,淡水區,F,0,70+,1,65000,65000100
19CoV,2022-06-11,新竹縣,湖口鄉,M,0,70+,1,10004,10004050
19CoV,2022-06-11,彰化縣,溪州鄉,M,0,70+,1,10007,10007260
19CoV,2022-06-11,彰化縣,溪湖鎮,F,0,70+,1,10007,10007110
19CoV,2022-06-11,屏東縣,滿州鄉,F,0,70+,1,10013,10013240
19CoV,2022-06-11,新北市,瑞芳區,M,0,40~44,1,65000,65000120
19CoV,2022-06-11,新北市,瑞芳區,F,0,70+,1,65000,65000120
19CoV,2022-06-11,台南市,白河區,M,0,70+,2,67000,67000030
19CoV,2022-06-11,宜蘭縣,礁溪鄉,F,0,70+,1,10002,10002050
19CoV,2022-06-11,宜蘭縣,礁溪鄉,M,0,70+,1,10002,10002050
19CoV,2022-06-11,彰化縣,社頭鄉,F,0,65~69,1,10007,10007170
19CoV,2022-06-11,彰化縣,社頭鄉,M,0,70+,2,10007,10007170
19CoV,2022-06-11,台中市,神岡區,M,0,70+,1,66000,66000160
19CoV,2022-06-11,新竹縣,竹北市,M,0,65~69,1,10004,10004010
19CoV,2022-06-11,嘉義縣,竹崎鄉,F,0,70+,1,10010,10010140
19CoV,2022-06-11,高雄市,美濃區,F,0,70+,1,64000,64000310
19CoV,2022-06-11,彰化縣,花壇鄉,F,0,70+,1,10007,10007080
19CoV,2022-06-11,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
19CoV,2022-06-11,彰化縣,芳苑鄉,M,0,65~69,1,10007,10007230
19CoV,2022-06-11,高雄市,苓雅區,F,0,70+,1,64000,64000080
19CoV,2022-06-11,苗栗縣,苗栗市,M,0,70+,2,10005,10005010
19CoV,2022-06-11,南投縣,草屯鎮,F,0,50~54,1,10008,10008030
19CoV,2022-06-11,南投縣,草屯鎮,F,0,70+,1,10008,10008030
19CoV,2022-06-11,屏東縣,萬丹鄉,M,0,65~69,1,10013,10013050
19CoV,2022-06-11,屏東縣,萬丹鄉,F,0,70+,1,10013,10013050
19CoV,2022-06-11,新北市,蘆洲區,F,0,70+,1,65000,65000140
19CoV,2022-06-11,台中市,西區,F,0,60~64,1,66000,66000040
19CoV,2022-06-11,嘉義市,西區,M,0,70+,1,10020,10020020
19CoV,2022-06-11,台中市,西區,M,0,70+,1,66000,66000040
19CoV,2022-06-11,台中市,西屯區,F,0,70+,1,66000,66000060
19CoV,2022-06-11,台中市,西屯區,M,0,70+,1,66000,66000060
19CoV,2022-06-11,台中市,豐原區,F,0,70+,1,66000,66000090
19CoV,2022-06-11,苗栗縣,銅鑼鄉,M,0,55~59,1,10005,10005100
19CoV,2022-06-11,苗栗縣,銅鑼鄉,F,0,70+,1,10005,10005100
19CoV,2022-06-11,苗栗縣,銅鑼鄉,M,0,70+,1,10005,10005100
19CoV,2022-06-11,台中市,霧峰區,M,0,70+,1,66000,66000260
19CoV,2022-06-11,苗栗縣,頭份市,F,0,70+,1,10005,10005050
19CoV,2022-06-11,苗栗縣,頭屋鄉,F,0,70+,1,10005,10005120
19CoV,2022-06-11,澎湖縣,馬公市,M,0,70+,1,10016,10016010
19CoV,2022-06-11,屏東縣,高樹鄉,F,0,70+,1,10013,10013110
19CoV,2022-06-11,高雄市,鳳山區,F,0,70+,2,64000,64000120
19CoV,2022-06-11,高雄市,鳳山區,M,0,70+,2,64000,64000120
19CoV,2022-06-11,花蓮縣,鳳林鎮,M,0,70+,1,10015,10015020
19CoV,2022-06-11,新北市,鶯歌區,M,0,65~69,1,65000,65000080
19CoV,2022-06-11,新北市,鶯歌區,F,0,70+,1,65000,65000080
19CoV,2022-06-11,雲林縣,麥寮鄉,F,0,70+,1,10009,10009130
19CoV,2022-06-11,雲林縣,麥寮鄉,M,0,70+,1,10009,10009130
19CoV,2022-06-11,台南市,麻豆區,M,0,55~59,1,67000,67000070
19CoV,2022-06-11,桃園市,龍潭區,F,0,70+,1,68000,68000090
19CoV,2022-06-12,新北市,三峽區,M,0,70+,1,65000,65000090
19CoV,2022-06-12,高雄市,三民區,M,0,70+,1,64000,64000050
19CoV,2022-06-12,高雄市,三民區,M,0,70+,1,64000,64000051
19CoV,2022-06-12,高雄市,三民區,M,0,70+,1,64000,64000052
19CoV,2022-06-12,苗栗縣,三義鄉,M,0,70+,1,10005,10005130
19CoV,2022-06-12,雲林縣,二崙鄉,M,0,50~54,1,10009,10009110
19CoV,2022-06-12,彰化縣,二林鎮,M,0,70+,1,10007,10007200
19CoV,2022-06-12,彰化縣,二水鄉,M,0,70+,1,10007,10007180
19CoV,2022-06-12,台北市,信義區,M,0,70+,1,63000,63000020
19CoV,2022-06-12,屏東縣,內埔鄉,M,0,45~49,1,10013,10013130
19CoV,2022-06-12,桃園市,八德區,M,0,55~59,1,68000,68000080
19CoV,2022-06-12,桃園市,八德區,F,0,70+,1,68000,68000080
19CoV,2022-06-12,桃園市,八德區,M,0,70+,1,68000,68000080
19CoV,2022-06-12,台北市,北投區,M,0,70+,1,63000,63000120
19CoV,2022-06-12,台南市,南區,M,0,70+,1,67000,67000330
19CoV,2022-06-12,南投縣,南投市,M,0,70+,1,10008,10008010
19CoV,2022-06-12,台東縣,台東市,F,0,70+,1,10014,10014010
19CoV,2022-06-12,南投縣,名間鄉,M,0,70+,1,10008,10008060
19CoV,2022-06-12,彰化縣,埔心鄉,F,0,70+,1,10007,10007150
19CoV,2022-06-12,台北市,士林區,M,0,70+,1,63000,63000110
19CoV,2022-06-12,台南市,大內區,F,0,70+,1,67000,67000110
19CoV,2022-06-12,雲林縣,大埤鄉,M,0,70+,1,10009,10009080
19CoV,2022-06-12,台北市,大安區,F,0,70+,1,63000,63000030
19CoV,2022-06-12,高雄市,大樹區,M,0,60~64,1,64000,64000150
19CoV,2022-06-12,台中市,大里區,F,0,70+,2,66000,66000280
19CoV,2022-06-12,台中市,大雅區,M,0,45~49,1,66000,66000180
19CoV,2022-06-12,台中市,太平區,F,0,70+,1,66000,66000270
19CoV,2022-06-12,台東縣,太麻里鄉,M,0,60~64,1,10014,10014090
19CoV,2022-06-12,台南市,學甲區,F,0,70+,1,67000,67000130
19CoV,2022-06-12,台南市,安平區,F,0,70+,1,67000,67000360
19CoV,2022-06-12,宜蘭縣,宜蘭市,M,0,70+,1,10002,10002010
19CoV,2022-06-12,高雄市,小港區,M,0,70+,1,64000,64000110
19CoV,2022-06-12,台南市,山上區,F,0,70+,1,67000,67000220
19CoV,2022-06-12,屏東縣,崁頂鄉,F,0,70+,1,10013,10013180
19CoV,2022-06-12,彰化縣,彰化市,F,0,70+,2,10007,10007010
19CoV,2022-06-12,屏東縣,恆春鎮,F,0,70+,1,10013,10013040
19CoV,2022-06-12,雲林縣,斗六市,F,0,70+,1,10009,10009010
19CoV,2022-06-12,雲林縣,斗六市,M,0,70+,1,10009,10009010
19CoV,2022-06-12,嘉義縣,新港鄉,F,0,70+,1,10010,10010070
19CoV,2022-06-12,新北市,新莊區,F,0,70+,1,65000,65000050
19CoV,2022-06-12,高雄市,旗山區,F,0,70+,1,64000,64000300
19CoV,2022-06-12,嘉義縣,朴子市,F,0,70+,1,10010,10010020
19CoV,2022-06-12,嘉義市,東區,F,0,70+,1,10020,10020010
19CoV,2022-06-12,台南市,東區,F,0,70+,1,67000,67000320
19CoV,2022-06-12,新竹市,東區,M,0,70+,1,10018,10018010
19CoV,2022-06-12,新北市,板橋區,F,0,70+,1,65000,65000010
19CoV,2022-06-12,屏東縣,林邊鄉,M,0,65~69,1,10013,10013190
19CoV,2022-06-12,台南市,永康區,F,0,70+,1,67000,67000310
19CoV,2022-06-12,彰化縣,永靖鄉,M,0,70+,1,10007,10007160
19CoV,2022-06-12,新北市,汐止區,M,0,70+,1,65000,65000110
19CoV,2022-06-12,彰化縣,溪湖鎮,F,0,70+,1,10007,10007110
19CoV,2022-06-12,台中市,烏日區,M,0,70+,1,66000,66000230
19CoV,2022-06-12,台南市,白河區,M,0,55~59,1,67000,67000030
19CoV,2022-06-12,苗栗縣,竹南鎮,M,0,35~39,1,10005,10005040
19CoV,2022-06-12,彰化縣,線西鄉,M,0,70+,1,10007,10007040
19CoV,2022-06-12,新竹縣,芎林鄉,F,0,70+,1,10004,10004070
19CoV,2022-06-12,高雄市,苓雅區,M,0,70+,2,64000,64000080
19CoV,2022-06-12,南投縣,草屯鎮,M,0,70+,1,10008,10008030
19CoV,2022-06-12,台北市,萬華區,F,0,70+,1,63000,63000071
19CoV,2022-06-12,台北市,萬華區,F,0,70+,1,63000,63000070
19CoV,2022-06-12,台北市,萬華區,F,0,70+,1,63000,63000072
19CoV,2022-06-12,新北市,蘆洲區,M,0,70+,1,65000,65000140
19CoV,2022-06-12,桃園市,蘆竹區,F,0,70+,2,68000,68000050
19CoV,2022-06-12,雲林縣,褒忠鄉,F,0,70+,1,10009,10009150
19CoV,2022-06-12,嘉義市,西區,M,0,70+,2,10020,10020020
19CoV,2022-06-12,台中市,西屯區,F,0,65~69,1,66000,66000060
19CoV,2022-06-12,台中市,豐原區,M,0,70+,1,66000,66000090
19CoV,2022-06-12,高雄市,路竹區,F,0,70+,1,64000,64000240
19CoV,2022-06-12,南投縣,集集鎮,F,0,70+,1,10008,10008050
19CoV,2022-06-12,台中市,霧峰區,F,0,70+,1,66000,66000260
19CoV,2022-06-12,台中市,霧峰區,M,0,70+,1,66000,66000260
19CoV,2022-06-12,高雄市,鳳山區,M,0,55~59,1,64000,64000120
19CoV,2022-06-12,高雄市,鳳山區,M,0,70+,1,64000,64000120
19CoV,2022-06-12,台南市,麻豆區,F,0,70+,2,67000,67000070
19CoV,2022-06-12,高雄市,鼓山區,F,0,70+,2,64000,64000020
19CoV,2022-06-12,桃園市,龜山區,F,0,70+,1,68000,68000070
19CoV,2022-06-13,新北市,三峽區,M,0,70+,1,65000,65000090
19CoV,2022-06-13,高雄市,三民區,M,0,70+,1,64000,64000051
19CoV,2022-06-13,高雄市,三民區,M,0,70+,1,64000,64000050
19CoV,2022-06-13,高雄市,三民區,M,0,70+,1,64000,64000052
19CoV,2022-06-13,新北市,三重區,M,0,70+,2,65000,65000020
